,NEWID,Total expenses,Entertainment,Total Transportation cost,Total Housing,Total Food,Income before tax,Luxury expenses,FINATXEM,Income minus total expenses,possible savings
163,3570634,1833.0,57.0,0.0,1281.0,390.0,9960,105.0,9960.0,657.0,219.0
164,3570644,15427.0,369.0,1188.0,5868.0,2698.0,97000,5304.0,88505.0,6699.25,2233.0833333333335
165,3570714,37551.75,2774.0,9696.0,14366.0,3850.0,170000,6865.75,142620.0,-1896.75,-632.25
166,3570724,5768.75,96.0,965.0,1042.0,1560.0,40464,2105.75,39558.0,4120.75,1373.5833333333333
167,3570744,13763.25,517.0,2440.0,3473.0,1989.0,114298,5344.25,99651.4,11149.599999999999,3716.533333333333
168,3570764,11760.0,459.0,1877.0,5165.0,1097.0,77800,3162.0,80345.0,8326.25,2775.4166666666665
169,3570774,6481.6,242.0,180.0,1596.0,910.0,0,3553.6000000000004,10936.6,-3747.4500000000003,-1249.15
170,3570804,10579.85,75.0,1890.0,4635.0,1690.0,72000,2289.8500000000004,76028.0,8427.15,2809.0499999999997
171,3570834,16419.75,573.0,2046.0,9594.0,2340.0,70000,1866.75,67014.0,333.75,111.25
172,3570854,3304.0,186.0,73.0,1121.0,819.0,11208,1105.0,11208.0,-502.0,-167.33333333333334
173,3570864,31969.337000000003,0.0,2400.0,12235.0,5525.0,264386,11809.337000000003,175960.6,12020.812999999998,4006.9376666666662
174,3570874,5714.25,290.0,2545.0,1508.0,650.0,16900,721.25,15919.0,-1734.5,-578.1666666666666
175,3570884,3133.0,177.0,0.0,1350.0,1560.0,72864,46.0,43052.6,7630.15,2543.383333333333
176,3570904,14400.0,611.0,2655.0,3769.0,2080.0,21600,5285.0,21600.0,-9000.0,-3000.0
177,3570914,8322.0,278.0,778.0,4569.0,1586.0,30733,1111.0,30733.0,-638.75,-212.91666666666666
178,3570934,6757.5,298.0,1860.0,1062.0,1040.0,100000,2497.5,88615.0,15396.25,5132.083333333333
179,3570944,5804.4,0.0,485.0,3015.0,1560.0,0,744.3999999999996,32301.2,2270.9000000000005,756.9666666666668
180,3570984,8097.3369999999995,337.0,717.0,2152.0,780.0,0,4111.3369999999995,44313.2,2980.9629999999997,993.6543333333333
181,3570994,8269.0,615.0,1467.0,2428.0,2275.0,42800,1484.0,42800.0,2431.0,810.3333333333334
182,3571014,12512.25,415.0,530.0,6505.0,1755.0,49000,3307.25,41959.0,-2022.5,-674.1666666666666
183,3571024,18724.25,239.0,3831.0,6289.0,4535.0,99725,3830.25,88304.0,3351.75,1117.25
184,3571084,9655.9,230.0,1333.0,2274.0,2013.0,3216,3805.8999999999996,113407.2,18695.9,6231.966666666667
185,3571104,9563.0,113.0,2227.0,4172.0,1573.0,20727,1478.0,20727.0,-4381.25,-1460.4166666666667
186,3571164,9416.8,117.0,2216.0,2760.0,2180.0,24000,2143.7999999999993,21710.2,-3989.249999999999,-1329.7499999999998
187,3571224,4845.0,0.0,0.0,3495.0,585.0,14604,765.0,14604.0,-1194.0,-398.0
188,3571254,21768.087000000003,315.0,516.0,8695.0,2925.0,72008,9317.087000000003,121769.6,8674.312999999998,2891.4376666666662
189,3571264,19019.1,551.0,1231.0,9731.0,3965.0,100000,3541.0999999999985,84906.6,2207.550000000003,735.8500000000009
190,3571274,1935.0,435.0,68.0,376.0,975.0,0,81.0,1768.0,-1493.0,-497.6666666666667
191,3571304,13722.9,87.0,2100.0,5672.0,3315.0,37000,2548.8999999999996,88190.8,8324.800000000001,2774.933333333334
192,3571344,15414.0,535.0,1864.0,4653.0,1895.0,24168,6467.0,24168.0,-9372.0,-3124.0
193,3571364,43720.325,1717.0,6915.0,12280.0,4450.0,329586,18358.324999999997,215770.6,10222.325000000004,3407.441666666668
194,3571394,28035.0,240.0,3574.0,7902.0,3940.0,123600,12379.0,107175.6,-1241.0999999999985,-413.69999999999953
195,3571414,14408.0,533.0,2095.0,2596.0,2831.0,100530,6353.0,89012.0,7845.0,2615.0
196,3571424,13204.9,178.0,0.0,7993.0,2131.0,110000,2902.8999999999996,102546.2,12431.65,4143.883333333333
197,3571434,23435.937,600.0,4225.0,8708.0,3445.0,150000,6457.937000000002,188596.4,23713.162999999997,7904.387666666666
198,3571474,12274.75,695.0,2089.0,6720.0,1040.0,17808,1730.75,17831.0,-7817.0,-2605.6666666666665
199,3571504,12518.5,164.0,320.0,2926.0,3510.0,55000,5598.5,49859.2,-53.70000000000073,-17.900000000000244
200,3571514,30393.0,585.0,17760.0,2053.0,3900.0,80000,6095.0,63280.0,-14573.0,-4857.666666666667
201,3571544,5678.1,150.0,480.0,1250.0,715.0,22008,3083.1000000000004,44711.0,5499.65,1833.2166666666665
202,3571554,8183.25,372.0,1050.0,1668.0,2600.0,68516,2493.25,62864.0,7532.75,2510.9166666666665
203,3571594,9834.5,447.0,1269.0,4645.0,1105.0,54039,2368.5,47911.0,2143.25,714.4166666666666
204,3571624,3827.55,80.0,800.0,1704.5,611.0,0,632.0500000000002,18636.8,831.6499999999996,277.2166666666665
205,3571634,9301.75,410.0,1324.0,2363.0,1185.0,39600,4019.75,41854.0,1161.75,387.25
206,3571654,6369.0,336.0,573.0,3382.0,1140.0,26196,938.0,26196.0,180.0,60.0
207,3571734,503.1,360.0,1344.0,2068.0,2106.0,57516,-5374.9,53486.0,12868.4,4289.466666666666
208,3571754,12125.5,375.0,5279.0,1563.0,4160.0,36000,748.5,39674.0,-2207.0,-735.6666666666666
209,3571764,22752.75,1162.0,3019.0,12527.0,2795.0,129832,3249.75,111934.0,5230.75,1743.5833333333333
210,3571814,4215.0,0.0,1908.0,627.0,1105.0,47640,575.0,44890.0,7007.5,2335.8333333333335
211,3571824,9088.0,273.0,244.0,4906.0,2470.0,62320,1195.0,69848.4,8374.099999999999,2791.3666666666663
212,3571834,16268.25,343.0,3039.0,7910.0,2054.0,98000,2922.25,80879.0,3951.5,1317.1666666666667
213,3571854,6403.85,29.0,600.0,1858.0,2330.0,43000,1586.8500000000004,40693.0,3769.3999999999996,1256.4666666666665
214,3571864,42953.75,1255.0,12645.0,19058.0,4725.0,164000,5270.75,139525.0,-8072.5,-2690.8333333333335
215,3571874,8595.35,343.0,2138.0,5115.0,455.0,24000,544.3500000000004,24862.0,-2379.8500000000004,-793.2833333333334
216,3571884,27718.5,2253.0,4705.0,10641.0,2785.0,163000,7334.5,134133.0,5814.75,1938.25
217,3571894,29336.75,1236.0,3491.0,13820.0,4290.0,179600,6499.75,144016.0,6667.25,2222.4166666666665
218,3571934,13344.0,1628.0,1244.0,6013.0,3165.0,3000,1294.0,3000.0,-12594.0,-4198.0
219,3571954,13035.25,675.0,2970.0,4441.0,2990.0,65000,1959.25,57842.0,1425.25,475.0833333333333
220,3571964,19054.65,961.0,3683.0,4724.0,3250.0,100000,6436.6500000000015,114494.0,9568.849999999999,3189.6166666666663
221,3571974,22984.3,991.0,3312.0,7912.0,4615.0,98000,6154.299999999999,90243.8,-423.34999999999854,-141.1166666666662
222,3572064,3907.55,173.0,1140.0,1278.0,1035.0,12000,281.5500000000002,12100.8,-882.3500000000004,-294.1166666666668
223,3572124,6580.25,0.0,185.0,3177.0,1040.0,53000,2178.25,44969.0,4662.0,1554.0
