,Income_AT,Expenses,Housing,Food,Transport,Entertainment,Luxury,Age,Education,Inc_cat
2894,6637.783333333333,3506.7000000000003,1226.6666666666667,455.0,328.3333333333333,164.0,1496.7,40,10,7
2895,817.0,962.6666666666666,53.666666666666664,281.6666666666667,85.33333333333333,10.0,542.0,25,11,0
2896,3175.5333333333333,6439.2,2815.6666666666665,975.0,600.0,283.3333333333333,2048.533333333333,56,15,4
2897,3216.816666666667,2624.3333333333335,1303.3333333333333,621.0,489.0,51.666666666666664,211.0,87,12,4
2898,6129.150000000001,6629.400000000001,4406.333333333333,628.3333333333334,262.6666666666667,65.66666666666667,1332.0666666666668,67,13,7
2899,6757.833333333333,4772.583333333333,1882.0,1035.0,558.3333333333334,233.33333333333334,1297.25,47,12,8
2900,17341.8,6864.333333333333,1793.3333333333333,433.3333333333333,1506.6666666666667,220.33333333333334,3131.0,36,14,10
2901,1179.0,2368.9166666666665,1465.6666666666667,298.3333333333333,302.3333333333333,82.33333333333333,302.5833333333333,67,13,0
2902,21.0,3716.3333333333335,588.0,606.6666666666666,571.0,600.0,1950.6666666666667,68,14,0
2903,1611.0,1838.6666666666667,649.0,393.3333333333333,0.0,262.3333333333333,796.3333333333334,79,13,1
2904,4652.75,2552.3333333333335,1452.0,411.6666666666667,143.33333333333334,125.0,545.3333333333334,64,12,6
2905,4120.3,3830.7333333333336,2350.0,390.0,513.3333333333334,86.66666666666667,577.4000000000002,20,12,5
2906,1176.6666666666667,2333.75,1452.6666666666667,606.6666666666666,28.0,100.0,246.41666666666666,38,10,0
2907,3783.5166666666664,4178.266666666666,804.6666666666666,736.6666666666666,1073.3333333333333,263.0,1563.5999999999997,70,12,5
2908,11624.916666666666,5456.166666666667,2061.6666666666665,801.6666666666666,867.3333333333334,225.0,1725.5,54,12,9
2909,8025.849999999999,4477.383333333333,1300.0,823.3333333333334,1317.0,0.0,1037.05,72,16,8
2910,15556.966666666667,22030.029,13560.916666666666,2383.3333333333335,490.0,1289.6666666666667,5595.7789999999995,46,15,10
2911,3482.6666666666665,3180.6666666666665,1432.3333333333333,517.3333333333334,222.33333333333334,96.33333333333333,1008.6666666666666,70,15,5
2912,7680.25,5229.166666666667,1923.3333333333333,693.3333333333334,734.0,130.0,1878.5,32,15,8
2913,4142.95,3072.366666666667,672.6666666666666,368.3333333333333,73.0,197.66666666666666,1958.3666666666668,62,12,5
2914,5752.083333333333,5393.833333333333,2679.6666666666665,390.0,679.0,261.6666666666667,1645.1666666666667,46,15,7
2915,2432.9166666666665,2618.0,1551.6666666666667,350.3333333333333,326.6666666666667,107.33333333333333,389.3333333333333,74,10,3
2916,1439.6666666666667,4260.916666666667,1257.6666666666667,878.3333333333334,1125.6666666666667,142.0,999.25,32,12,1
2917,3618.5,2115.6666666666665,421.6666666666667,512.0,499.6666666666667,150.0,682.3333333333334,36,15,5
2918,2188.7833333333333,1448.2,756.6666666666666,346.6666666666667,75.0,13.333333333333334,269.8666666666668,45,10,3
2919,3217.0,6826.5,2162.5,1150.0,645.6666666666666,408.3333333333333,2868.3333333333335,67,15,4
2920,1969.5833333333333,1295.5,588.0,130.0,501.0,0.0,76.5,57,11,2
2921,4550.099999999999,4528.933333333333,2273.3333333333335,354.3333333333333,1074.6666666666667,173.33333333333334,826.5999999999998,35,12,6
2922,2657.5833333333335,3865.0,1698.6666666666667,426.0,345.0,561.6666666666666,1395.3333333333333,77,14,4
2923,17142.666666666668,11894.533333333333,4135.666666666667,2383.3333333333335,2595.3333333333335,440.6666666666667,2780.1999999999994,46,13,10
2924,6556.183333333333,9300.75,2729.0,4766.666666666667,607.3333333333334,337.0,1197.75,61,15,7
2925,3200.0,4978.0,1874.6666666666667,946.6666666666666,516.0,242.66666666666666,1640.6666666666667,64,15,4
2926,12609.85,6009.4456666666665,2141.6666666666665,538.3333333333334,1206.6666666666667,122.0,2122.779,51,13,10
